root_id,primary_type,region,idx
720575940604708832,Delta7,PB (heading),0
720575940606137004,Delta7,PB (heading),1
720575940608673860,Delta7,PB (heading),2
720575940609924875,Delta7,PB (heading),3
720575940611296790,Delta7,PB (heading),4
720575940616616166,Delta7,PB (heading),5
720575940616769051,Delta7,PB (heading),6
720575940616985030,Delta7,PB (heading),7
720575940617752537,Delta7,PB (heading),8
720575940619169518,Delta7,PB (heading),9
720575940619249088,Delta7,PB (heading),10
720575940620589082,Delta7,PB (heading),11
720575940621252735,Delta7,PB (heading),12
720575940621361172,Delta7,PB (heading),13
720575940621502157,Delta7,PB (heading),14
720575940621671593,Delta7,PB (heading),15
720575940624006327,Delta7,PB (heading),16
720575940624114712,Delta7,PB (heading),17
720575940624669733,Delta7,PB (heading),18
720575940625390153,Delta7,PB (heading),19
720575940625508500,Delta7,PB (heading),20
720575940627317252,Delta7,PB (heading),21
720575940627945747,Delta7,PB (heading),22
720575940628164229,Delta7,PB (heading),23
720575940628493828,Delta7,PB (heading),24
720575940629055447,Delta7,PB (heading),25
720575940629196670,Delta7,PB (heading),26
720575940631244136,Delta7,PB (heading),27
720575940631990359,Delta7,PB (heading),28
720575940632049935,Delta7,PB (heading),29
720575940632598220,Delta7,PB (heading),30
720575940633105378,Delta7,PB (heading),31
720575940633223727,Delta7,PB (heading),32
720575940633918827,Delta7,PB (heading),33
720575940634627191,Delta7,PB (heading),34
720575940637591262,Delta7,PB (heading),35
720575940638130758,Delta7,PB (heading),36
720575940639088105,Delta7,PB (heading),37
720575940644645412,Delta7,PB (heading),38
720575940645823876,Delta7,PB (heading),39
720575940650926326,Delta7,PB (heading),40
720575940653624310,Delta7,PB (heading),41
720575940604801993,EPG,PB (heading),42
720575940605827761,EPG,PB (heading),43
720575940608722371,EPG,PB (heading),44
720575940610453427,EPG,PB (heading),45
720575940610901930,EPG,PB (heading),46
720575940611216099,EPG,PB (heading),47
720575940613829900,EPG,PB (heading),48
720575940613836438,EPG,PB (heading),49
720575940614297640,EPG,PB (heading),50
720575940614926475,EPG,PB (heading),51
720575940616502066,EPG,PB (heading),52
720575940616569601,EPG,PB (heading),53
720575940617769851,EPG,PB (heading),54
720575940618612952,EPG,PB (heading),55
720575940619006272,EPG,PB (heading),56
720575940619296365,EPG,PB (heading),57
720575940620020694,EPG,PB (heading),58
720575940620282906,EPG,PB (heading),59
720575940620664741,EPG,PB (heading),60
720575940622364771,EPG,PB (heading),61
720575940623046548,EPG,PB (heading),62
720575940623852873,EPG,PB (heading),63
720575940624096234,EPG,PB (heading),64
720575940624784280,EPG,PB (heading),65
720575940625351354,EPG,PB (heading),66
720575940626137895,EPG,PB (heading),67
720575940626315207,EPG,PB (heading),68
720575940626449082,EPG,PB (heading),69
720575940626721835,EPG,PB (heading),70
720575940627140551,EPG,PB (heading),71
720575940628493572,EPG,PB (heading),72
720575940628802041,EPG,PB (heading),73
720575940628843458,EPG,PB (heading),74
720575940629691753,EPG,PB (heading),75
720575940630199963,EPG,PB (heading),76
720575940631125036,EPG,PB (heading),77
720575940631708836,EPG,PB (heading),78
720575940632614295,EPG,PB (heading),79
720575940632844002,EPG,PB (heading),80
720575940633719487,EPG,PB (heading),81
720575940635427982,EPG,PB (heading),82
720575940635461550,EPG,PB (heading),83
720575940636730694,EPG,PB (heading),84
720575940638850512,EPG,PB (heading),85
720575940642634532,EPG,PB (heading),86
720575940658101889,EPG,PB (heading),87
720575940660921985,EPG,PB (heading),88
720575940602917088,EPGt,PB (heading),89
720575940619905404,EPGt,PB (heading),90
720575940620419354,EPGt,PB (heading),91
720575940620776662,EPGt,PB (heading),92
720575940604404425,PEG,PB (heading),93
720575940605135038,PEG,PB (heading),94
720575940610453162,PEG,PB (heading),95
720575940611396835,PEG,PB (heading),96
720575940612099986,PEG,PB (heading),97
720575940620024534,PEG,PB (heading),98
720575940620776406,PEG,PB (heading),99
720575940622081516,PEG,PB (heading),100
720575940622138564,PEG,PB (heading),101
720575940623306168,PEG,PB (heading),102
720575940625528638,PEG,PB (heading),103
720575940625790778,PEG,PB (heading),104
720575940626824015,PEG,PB (heading),105
720575940627321755,PEG,PB (heading),106
720575940627913436,PEG,PB (heading),107
720575940636354650,PEG,PB (heading),108
720575940637330142,PEG,PB (heading),109
720575940637369653,PEG,PB (heading),110
720575940637369909,PEG,PB (heading),111
720575940638469584,PEG,PB (heading),112
720575940603823462,PEN_a/PEN1,PB (heading),113
720575940605639858,PEN_a/PEN1,PB (heading),114
720575940610249426,PEN_a/PEN1,PB (heading),115
720575940610502851,PEN_a/PEN1,PB (heading),116
720575940619476126,PEN_a/PEN1,PB (heading),117
720575940621074835,PEN_a/PEN1,PB (heading),118
720575940622772137,PEN_a/PEN1,PB (heading),119
720575940622913260,PEN_a/PEN1,PB (heading),120
720575940624594726,PEN_a/PEN1,PB (heading),121
720575940624879678,PEN_a/PEN1,PB (heading),122
720575940625407107,PEN_a/PEN1,PB (heading),123
720575940626194428,PEN_a/PEN1,PB (heading),124
720575940626469909,PEN_a/PEN1,PB (heading),125
720575940628557178,PEN_a/PEN1,PB (heading),126
720575940628866809,PEN_a/PEN1,PB (heading),127
720575940632736703,PEN_a/PEN1,PB (heading),128
720575940633538724,PEN_a/PEN1,PB (heading),129
720575940637644659,PEN_a/PEN1,PB (heading),130
720575940638847104,PEN_a/PEN1,PB (heading),131
720575940642855328,PEN_a/PEN1,PB (heading),132
720575940606123954,PEN_b/PEN2,PB (heading),133
720575940608918830,PEN_b/PEN2,PB (heading),134
720575940612763158,PEN_b/PEN2,PB (heading),135
720575940612920466,PEN_b/PEN2,PB (heading),136
720575940615177099,PEN_b/PEN2,PB (heading),137
720575940616459333,PEN_b/PEN2,PB (heading),138
720575940617828731,PEN_b/PEN2,PB (heading),139
720575940622265894,PEN_b/PEN2,PB (heading),140
720575940623388237,PEN_b/PEN2,PB (heading),141
720575940624453680,PEN_b/PEN2,PB (heading),142
720575940625021796,PEN_b/PEN2,PB (heading),143
720575940625415813,PEN_b/PEN2,PB (heading),144
720575940626306321,PEN_b/PEN2,PB (heading),145
720575940626407820,PEN_b/PEN2,PB (heading),146
720575940627653114,PEN_b/PEN2,PB (heading),147
720575940630666404,PEN_b/PEN2,PB (heading),148
720575940631372369,PEN_b/PEN2,PB (heading),149
720575940636242778,PEN_b/PEN2,PB (heading),150
720575940638055869,PEN_b/PEN2,PB (heading),151
720575940638832512,PEN_b/PEN2,PB (heading),152
720575940643558692,PEN_b/PEN2,PB (heading),153
720575940658472065,PEN_b/PEN2,PB (heading),154
720575940610219715,PFGs,PB (heading),155
720575940615673949,PFGs,PB (heading),156
720575940616040148,PFGs,PB (heading),157
720575940617236667,PFGs,PB (heading),158
720575940618704043,PFGs,PB (heading),159
720575940618787841,PFGs,PB (heading),160
720575940619489088,PFGs,PB (heading),161
720575940619574181,PFGs,PB (heading),162
720575940620197441,PFGs,PB (heading),163
720575940621076144,PFGs,PB (heading),164
720575940621825518,PFGs,PB (heading),165
720575940622217654,PFGs,PB (heading),166
720575940622815123,PFGs,PB (heading),167
720575940623084471,PFGs,PB (heading),168
720575940623392949,PFGs,PB (heading),169
720575940625902823,PFGs,PB (heading),170
720575940625968792,PFGs,PB (heading),171
720575940627033875,PFGs,PB (heading),172
720575940627730206,PFGs,PB (heading),173
720575940628576250,PFGs,PB (heading),174
720575940628789626,PFGs,PB (heading),175
720575940630021115,PFGs,PB (heading),176
720575940630199759,PFGs,PB (heading),177
720575940633797677,PFGs,PB (heading),178
720575940636063204,PFGs,PB (heading),179
720575940641173376,PFGs,PB (heading),180
720575940653346550,PFGs,PB (heading),181
720575940653347830,PFGs,PB (heading),182
720575940603919537,ER1,EB (ring/visual input),183
720575940608909870,ER1,EB (ring/visual input),184
720575940612351510,ER1,EB (ring/visual input),185
720575940613686442,ER1,EB (ring/visual input),186
720575940616946662,ER1,EB (ring/visual input),187
720575940617517691,ER1,EB (ring/visual input),188
720575940617724107,ER1,EB (ring/visual input),189
720575940618618350,ER1,EB (ring/visual input),190
720575940619072158,ER1,EB (ring/visual input),191
720575940619843845,ER1,EB (ring/visual input),192
720575940620448681,ER1,EB (ring/visual input),193
720575940621065677,ER1,EB (ring/visual input),194
720575940622811636,ER1,EB (ring/visual input),195
720575940626315975,ER1,EB (ring/visual input),196
720575940626329841,ER1,EB (ring/visual input),197
720575940626336381,ER1,EB (ring/visual input),198
720575940628907607,ER1,EB (ring/visual input),199
720575940628984950,ER1,EB (ring/visual input),200
720575940629116716,ER1,EB (ring/visual input),201
720575940629259023,ER1,EB (ring/visual input),202
720575940629379835,ER1,EB (ring/visual input),203
720575940630574895,ER1,EB (ring/visual input),204
720575940631895065,ER1,EB (ring/visual input),205
720575940634620898,ER1,EB (ring/visual input),206
720575940636134366,ER1,EB (ring/visual input),207
720575940636222810,ER1,EB (ring/visual input),208
720575940638594768,ER1,EB (ring/visual input),209
720575940639239908,ER1,EB (ring/visual input),210
720575940653031585,ER1,EB (ring/visual input),211
720575940604967270,ER2,EB (ring/visual input),212
720575940606597298,ER2,EB (ring/visual input),213
720575940606951893,ER2,EB (ring/visual input),214
720575940610208917,ER2,EB (ring/visual input),215
720575940611048306,ER2,EB (ring/visual input),216
720575940614686943,ER2,EB (ring/visual input),217
720575940615089494,ER2,EB (ring/visual input),218
720575940615843985,ER2,EB (ring/visual input),219
720575940616197021,ER2,EB (ring/visual input),220
720575940616328517,ER2,EB (ring/visual input),221
720575940617098580,ER2,EB (ring/visual input),222
720575940617630001,ER2,EB (ring/visual input),223
720575940619185830,ER2,EB (ring/visual input),224
720575940619254704,ER2,EB (ring/visual input),225
720575940620084604,ER2,EB (ring/visual input),226
720575940620139643,ER2,EB (ring/visual input),227
720575940620668069,ER2,EB (ring/visual input),228
720575940620872669,ER2,EB (ring/visual input),229
720575940621341716,ER2,EB (ring/visual input),230
720575940621569930,ER2,EB (ring/visual input),231
720575940621905869,ER2,EB (ring/visual input),232
720575940622939124,ER2,EB (ring/visual input),233
720575940624004752,ER2,EB (ring/visual input),234
720575940625366846,ER2,EB (ring/visual input),235
720575940625659028,ER2,EB (ring/visual input),236
720575940625871949,ER2,EB (ring/visual input),237
720575940626243965,ER2,EB (ring/visual input),238
720575940626458897,ER2,EB (ring/visual input),239
720575940627499520,ER2,EB (ring/visual input),240
720575940628362812,ER2,EB (ring/visual input),241
720575940628733292,ER2,EB (ring/visual input),242
720575940628788332,ER2,EB (ring/visual input),243
720575940629683062,ER2,EB (ring/visual input),244
720575940632988351,ER2,EB (ring/visual input),245
720575940635373935,ER2,EB (ring/visual input),246
720575940636395610,ER2,EB (ring/visual input),247
720575940636940870,ER2,EB (ring/visual input),248
720575940637487593,ER2,EB (ring/visual input),249
720575940637862062,ER2,EB (ring/visual input),250
720575940639426805,ER2,EB (ring/visual input),251
720575940643020836,ER2,EB (ring/visual input),252
720575940645990532,ER2,EB (ring/visual input),253
720575940650293494,ER2,EB (ring/visual input),254
720575940603094700,ER3a_a,EB (ring/visual input),255
720575940603895584,ER3a_a,EB (ring/visual input),256
720575940607621059,ER3a_a,EB (ring/visual input),257
720575940610602410,ER3a_a,EB (ring/visual input),258
720575940616501919,ER3a_a,EB (ring/visual input),259
720575940616893746,ER3a_a,EB (ring/visual input),260
720575940618103513,ER3a_a,EB (ring/visual input),261
720575940620880007,ER3a_a,EB (ring/visual input),262
720575940621584068,ER3a_a,EB (ring/visual input),263
720575940622227550,ER3a_a,EB (ring/visual input),264
720575940622433140,ER3a_a,EB (ring/visual input),265
720575940622991252,ER3a_a,EB (ring/visual input),266
720575940623441996,ER3a_a,EB (ring/visual input),267
720575940625276745,ER3a_a,EB (ring/visual input),268
720575940626291998,ER3a_a,EB (ring/visual input),269
720575940627129786,ER3a_a,EB (ring/visual input),270
720575940628093895,ER3a_a,EB (ring/visual input),271
720575940630348140,ER3a_a,EB (ring/visual input),272
720575940630545489,ER3a_a,EB (ring/visual input),273
720575940632852793,ER3a_a,EB (ring/visual input),274
720575940639209461,ER3a_a,EB (ring/visual input),275
720575940641112192,ER3a_a,EB (ring/visual input),276
720575940648569988,ER3a_a,EB (ring/visual input),277
720575940613152423,ER3a_b,EB (ring/visual input),278
720575940616505759,ER3a_b,EB (ring/visual input),279
720575940616507807,ER3a_b,EB (ring/visual input),280
720575940618508518,ER3a_b,EB (ring/visual input),281
720575940619104539,ER3a_b,EB (ring/visual input),282
720575940619661632,ER3a_b,EB (ring/visual input),283
720575940620010405,ER3a_b,EB (ring/visual input),284
720575940628007171,ER3a_b,EB (ring/visual input),285
720575940628140785,ER3a_b,EB (ring/visual input),286
720575940629511802,ER3a_b,EB (ring/visual input),287
720575940632318751,ER3a_b,EB (ring/visual input),288
720575940637279095,ER3a_b,EB (ring/visual input),289
720575940639426293,ER3a_b,EB (ring/visual input),290
720575940650785657,ER3a_b,EB (ring/visual input),291
720575940602783968,ER3d,EB (ring/visual input),292
720575940606591836,ER3d,EB (ring/visual input),293
720575940606763110,ER3d,EB (ring/visual input),294
720575940607246549,ER3d,EB (ring/visual input),295
720575940611669987,ER3d,EB (ring/visual input),296
720575940611960274,ER3d,EB (ring/visual input),297
720575940612127151,ER3d,EB (ring/visual input),298
720575940612631970,ER3d,EB (ring/visual input),299
720575940612916114,ER3d,EB (ring/visual input),300
720575940613338521,ER3d,EB (ring/visual input),301
720575940614073315,ER3d,EB (ring/visual input),302
720575940615526289,ER3d,EB (ring/visual input),303
720575940616205083,ER3d,EB (ring/visual input),304
720575940616445250,ER3d,EB (ring/visual input),305
720575940616891698,ER3d,EB (ring/visual input),306
720575940617187329,ER3d,EB (ring/visual input),307
720575940617425781,ER3d,EB (ring/visual input),308
720575940619014941,ER3d,EB (ring/visual input),309
720575940619658111,ER3d,EB (ring/visual input),310
720575940619767744,ER3d,EB (ring/visual input),311
720575940619829765,ER3d,EB (ring/visual input),312
720575940621155092,ER3d,EB (ring/visual input),313
720575940621749226,ER3d,EB (ring/visual input),314
720575940623201789,ER3d,EB (ring/visual input),315
720575940624135060,ER3d,EB (ring/visual input),316
720575940624356234,ER3d,EB (ring/visual input),317
720575940624783287,ER3d,EB (ring/visual input),318
720575940625218685,ER3d,EB (ring/visual input),319
720575940625233445,ER3d,EB (ring/visual input),320
720575940625464328,ER3d,EB (ring/visual input),321
720575940625506027,ER3d,EB (ring/visual input),322
720575940626827024,ER3d,EB (ring/visual input),323
720575940627161700,ER3d,EB (ring/visual input),324
720575940627701609,ER3d,EB (ring/visual input),325
720575940627958046,ER3d,EB (ring/visual input),326
720575940628317715,ER3d,EB (ring/visual input),327
720575940629244166,ER3d,EB (ring/visual input),328
720575940629711376,ER3d,EB (ring/visual input),329
720575940629840207,ER3d,EB (ring/visual input),330
720575940630755276,ER3d,EB (ring/visual input),331
720575940632602850,ER3d,EB (ring/visual input),332
720575940632994399,ER3d,EB (ring/visual input),333
720575940633006176,ER3d,EB (ring/visual input),334
720575940633631789,ER3d,EB (ring/visual input),335
720575940636413176,ER3d,EB (ring/visual input),336
720575940639214655,ER3d,EB (ring/visual input),337
720575940645179592,ER3d,EB (ring/visual input),338
720575940605837024,ER3m,EB (ring/visual input),339
720575940607245781,ER3m,EB (ring/visual input),340
720575940609621003,ER3m,EB (ring/visual input),341
720575940610263665,ER3m,EB (ring/visual input),342
720575940610675123,ER3m,EB (ring/visual input),343
720575940612916370,ER3m,EB (ring/visual input),344
720575940613676402,ER3m,EB (ring/visual input),345
720575940616441410,ER3m,EB (ring/visual input),346
720575940618045986,ER3m,EB (ring/visual input),347
720575940622252493,ER3m,EB (ring/visual input),348
720575940626887171,ER3m,EB (ring/visual input),349
720575940627128216,ER3m,EB (ring/visual input),350
720575940630022395,ER3m,EB (ring/visual input),351
720575940630658807,ER3m,EB (ring/visual input),352
720575940631084751,ER3m,EB (ring/visual input),353
720575940613700674,ER3p_a,EB (ring/visual input),354
720575940613825695,ER3p_a,EB (ring/visual input),355
720575940615444882,ER3p_a,EB (ring/visual input),356
720575940618732782,ER3p_a,EB (ring/visual input),357
720575940618782912,ER3p_a,EB (ring/visual input),358
720575940619477232,ER3p_a,EB (ring/visual input),359
720575940619957786,ER3p_a,EB (ring/visual input),360
720575940620026502,ER3p_a,EB (ring/visual input),361
720575940622431305,ER3p_a,EB (ring/visual input),362
720575940623559974,ER3p_a,EB (ring/visual input),363
720575940631173120,ER3p_a,EB (ring/visual input),364
720575940631246765,ER3p_a,EB (ring/visual input),365
720575940633237402,ER3p_a,EB (ring/visual input),366
720575940637699747,ER3p_a,EB (ring/visual input),367
